,Tranception_no_retrieval,Tranception_retrieval,MSA_Transformer_single,MSA_Transformer_ensemble,ESM1v_single,ESM1v_ensemble,Wavenet,number_mutants,UniProt_ID,Neff_L_category,Taxon
A0A140D2T1_ZIKV_Sourisseau_growth_2019,0.19298245614035087,0.24770258980785295,0.36006683375104426,0.35463659147869675,-0.04051796157059315,-0.001670843776106934,0.16791979949874686,9576,A0A140D2T1_ZIKV,medium,Virus
A0A192B1T2_9HIV1_Haddox_2018,0.4003996498676692,0.398159701181705,0.4039195692313271,0.4039195692313271,0.39143985512381263,0.4010396352065161,0.3591205955120444,12577,A0A192B1T2_9HIV1,medium,Virus
A0A1I9GEU1_NEIME_Kennouche_2019,0.08242969501788526,0.056399265012237285,0.0737528850160026,0.07809129001694393,0.0433840500094133,0.06507607501411994,0.047722455010354624,922,A0A1I9GEU1_NEIME,medium,Prokaryote
A0A2Z5U3Z0_9INFA_Doud_2016,0.4146523514112174,0.4023331725824994,0.1313112383507034,0.41278580916444196,0.40494633172798505,0.4314512316321965,0.2959402645162985,10715,A0A2Z5U3Z0_9INFA,medium,Virus
A0A2Z5U3Z0_9INFA_Wu_2014,0.40595744680851065,0.44,0.39574468085106385,0.40595744680851065,0.35829787234042554,0.39404255319148934,0.34638297872340423,2350,A0A2Z5U3Z0_9INFA,medium,Virus
A4_HUMAN_Seuma_2021,0.2354589567022764,0.3575986661836112,0.2895890552224134,0.292920138208268,0.21519486853832767,0.2906994162176983,0.16050958952054822,14483,A4_HUMAN,low,Human
A4D664_9INFA_Soh_CCL141_2019,0.3136398371189339,0.2964426939809749,0.2742528318674794,0.28090979050152803,0.018792044285862387,0.024894256367073653,0.1940919549824769,14421,A4D664_9INFA,medium,Virus
A4GRB6_PSEAI_Chen_2020,0.5208785153779913,0.5394093829011063,0.5941962955781417,0.5587459403165306,0.545854902039581,0.5716369785934801,0.46528591280864656,5004,A4GRB6_PSEAI,high,Prokaryote
AACC1_PSEAI_Dandage_2018,0.31149340239240353,0.33370329263780985,0.37812307312862253,0.3736810950795412,0.344808237760513,0.3714601060550006,0.278178567024294,1801,AACC1_PSEAI,high,Prokaryote
ADRB2_HUMAN_Jones_2020,0.4005128205128205,0.42717948717948717,0.33589743589743587,0.39282051282051283,0.4282051282051282,0.4282051282051282,0.4117948717948718,7800,ADRB2_HUMAN,medium,Human
AMIE_PSEAE_Wrenbeck_2017,0.351212445127762,0.36020553994777327,0.5085916044779584,0.4777581365236342,0.4963866900793717,0.5464910755051485,0.39360846356495777,6227,AMIE_PSEAE,high,Prokaryote
B3VI55_LIPST_Klesmith_2015,0.4220532319391635,0.3885931558935361,0.43624841571609635,0.42154626108998733,0.39366286438529785,0.423574144486692,0.38098859315589356,7890,B3VI55_LIPST,medium,Eukaryote
BLAT_ECOLX_Deng_2012,0.2614093158181221,0.35908752877313255,0.4359490733934686,0.4327465090342879,0.39351509563432474,0.4175343283281797,0.36549265749149384,4996,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Firnberg_2014,0.323019406193209,0.461844781587728,0.5831079106973983,0.5822716132552627,0.5304211718428519,0.5747449362760417,0.522894494863631,4783,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Jacquier_2013,0.3812129628920843,0.4985133489955911,0.5470514397970422,0.5430065988969213,0.5227823943963166,0.5349169170966794,0.5146927125960747,989,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Stiffler_2015,0.32586068855084066,0.46517213771016813,0.5924739791833467,0.5908726981585268,0.5492393915132106,0.5948759007205765,0.5284227381905524,4996,BLAT_ECOLX,high,Prokaryote
BRCA1_HUMAN_Findlay_2018,0.3710693724134679,0.4357637157798196,0.42581073987730395,0.4332754718041907,0.29891029712022943,0.34121044470592093,0.23670419772950663,1837,BRCA1_HUMAN,low,Human
C6KNH7_9INFA_Lee_2018,0.29923749302585084,0.3182071787241956,0.30444485772735724,0.2958899014320253,0.3200669518318765,0.36990887111772364,0.24530407290310582,10754,C6KNH7_9INFA,medium,Virus
CALM1_HUMAN_Weile_2017,0.2697184761153744,0.22559270427944536,0.17705435525992344,0.23221157005483473,0.19029208681070214,0.23441785864663117,0.1880857982189057,1813,CALM1_HUMAN,high,Human
CAPSD_AAV2S_Sinai_substitutions_2021,0.3596085284930984,0.31838072980180443,0.18959113847716597,0.2018838307475059,0.14590480133180403,0.14779598475801017,0.16339824802421088,42328,CAPSD_AAV2S,low,Virus
CCDB_ECOLI_Adkar_2012,0.25340172700308644,0.36564678728633276,0.33843586358130334,0.36904815274946146,0.3044222089500166,0.3860549800651048,0.3928577109913622,1176,CCDB_ECOLI,high,Prokaryote
CCDB_ECOLI_Tripathi_2016,0.33240062868733705,0.41732226784325716,0.34756520710803707,0.3778943639494371,0.3566639541604571,0.3778943639494371,0.41125643647497717,1663,CCDB_ECOLI,high,Prokaryote
CP2C9_HUMAN_Amorosi_abundance_2021,0.4216640502354788,0.4631083202511774,0.41664050235478806,0.43422291993720563,0.4530612244897959,0.4718995290423862,0.48320251177394036,6370,CP2C9_HUMAN,high,Human
CP2C9_HUMAN_Amorosi_activity_2021,0.4255942689677629,0.48420709866493,0.4366655812438945,0.44513187886681865,0.47899706935851516,0.49658091826766526,0.49527841094106156,6142,CP2C9_HUMAN,high,Human
DLG4_HUMAN_Faure_2021,0.48107798165137616,0.5762614678899083,0.49254587155963303,0.5097477064220184,0.45871559633027525,0.49713302752293576,0.5361238532110092,6976,DLG4_HUMAN,low,Human
DLG4_RAT_McLaughlin_2012,0.25238925057322403,0.3709817899991968,0.39226763040898677,0.3892267960647311,0.45308431729410104,0.46220682032686816,0.3496959495894068,1576,DLG4_RAT,low,Eukaryote
DYR_ECOLI_Thompson_plusLon_2019,0.31184317532159583,0.37250140981643787,0.4055877195408971,0.40374959122287163,0.3412532284100041,0.35779638327223373,0.40742584785892266,2363,DYR_ECOLI,medium,Prokaryote
ENV_HV1B9_DuenasDecamp_2016,0.30955298780506985,0.34478997164405634,0.33304431036439414,0.321298649084732,0.3800269554830428,0.3565356329237185,0.29780732652540765,375,ENV_HV1B9,medium,Virus
ENV_HV1BR_Haddox_2016,0.27047340508685613,0.27420515350472835,0.26705263570380655,0.26985144701721075,0.24061941774387802,0.2599001179028847,0.2505707468582041,12863,ENV_HV1BR,medium,Virus
ESTA_BACSU_Nutschel_2020,0.20166164779403148,0.23849482547330664,0.3324194285554583,0.3379444052073496,0.2182365777497053,0.24770311989312543,0.23112818993745163,2172,ESTA_BACSU,high,Prokaryote
F7YBW8_MESOW_Aakre_2015,0.24412532637075718,0.2519582245430809,0.2310704960835509,0.2484769364664926,0.22845953002610966,0.23716275021758051,0.22541340295909487,9192,F7YBW8_MESOW,high,Prokaryote
GAL4_YEAST_Kitzman_2015,0.19692273600032326,0.37510932900469535,0.42601978414880165,0.42965624523052354,0.3351082571057547,0.3532905625143641,0.3460176403509203,1195,GAL4_YEAST,medium,Eukaryote
GCN4_YEAST_Staller_induction_2018,0.2312357846853677,0.22820318423047764,0.18119787717968158,0.18877937831690675,0.21152388172858225,0.21607278241091737,0.16603487490523122,2638,GCN4_YEAST,low,Eukaryote
GFP_AEQVI_Sarkisyan_2016,0.5730566432352033,0.6179038726688518,0.5843468548408771,0.592265683814301,0.09682924536810456,0.09737807509893591,0.5367554767530719,51714,GFP_AEQVI,low,Eukaryote
GRB2_HUMAN_Faure_2021,0.3098176345814611,0.33071763562935924,0.34803477935476057,0.3616363673383133,0.3366227152905114,0.37802462212825244,0.40715192517595805,63366,GRB2_HUMAN,medium,Human
HIS7_YEAST_Pokusaeva_2019,0.4751925246051875,0.5107364819285959,0.40215652768199156,0.3947316000584238,0.3326834707116469,0.3768485465300839,0.3416890791296451,496137,HIS7_YEAST,medium,Eukaryote
