,Tranception_no_retrieval,Tranception_retrieval,EVE_single,EVE_ensemble,MSA_Transformer_single,MSA_Transformer_ensemble,ESM1v_single,ESM1v_ensemble,Wavenet,DeepSequence,Site_Independent,EVmutation,Ensemble_tranception_EVE,number_mutants,UniProt_ID,Neff_L_category,Taxon
A0A140D2T1_ZIKV_Sourisseau_growth_2019,0.2683625559912878,0.34604810411928244,0.36606796308081346,0.38996619828860585,0.4647784382052948,0.4414331780018564,-0.06361793738783343,-0.0017477240835302285,0.2141584006207616,0.14091824075003692,0.3818659703380244,0.36099558179456503,0.38306144572232914,9272,A0A140D2T1_ZIKV,medium,Virus
A0A192B1T2_9HIV1_Haddox_2018,0.5100442516401762,0.5088908322799826,0.5097496645973479,0.5110634268196941,0.510354350689384,0.510693715196248,0.4880339043364023,0.5120491088600657,0.4625116957934671,0.41546308663352893,0.47672626490471215,0.4044749288241144,0.5202886429519632,12484,A0A192B1T2_9HIV1,medium,Virus
A0A1I9GEU1_NEIME_Kennouche_2019,0.08796133456124182,0.044209859225231476,-0.003765597607573405,0.0008774517521861257,0.07676786912484704,0.08713627993069585,0.04587651686000201,0.050613582781461254,0.05474404472828233,0.0023419646377137956,-0.01160190964393314,0.014539776712794356,0.01683997663248538,791,A0A1I9GEU1_NEIME,medium,Prokaryote
A0A2Z5U3Z0_9INFA_Doud_2016,0.5386611148430726,0.5485741810091017,0.5342137479392287,0.5430505020108969,0.15672738283399196,0.5261291766479332,0.5071014099415487,0.5418080938753481,0.4160395770963073,0.47244756027624596,0.4788190045948075,0.46901467741792013,0.5619298835623544,10432,A0A2Z5U3Z0_9INFA,medium,Virus
A0A2Z5U3Z0_9INFA_Wu_2014,0.5175938596071017,0.5404710987991646,0.5238776729767534,0.523694994439401,0.495123717824705,0.5146502614839121,0.4620574119492241,0.5104672760467216,0.4556866120897611,0.4395915241197522,0.47766804936519336,0.5029592707628979,0.5492546382937783,2316,A0A2Z5U3Z0_9INFA,medium,Virus
A4_HUMAN_Seuma_2021,0.36351569801796013,0.45173436873073025,0.3009564928997305,0.30048420807320286,0.39356061058478203,0.3917644259986091,0.30888096628741923,0.39796556714547254,0.2450900990772772,0.40061329829297027,0.3886559934148186,0.3806287702792326,0.4155418326296614,14477,A4_HUMAN,low,Human
A4D664_9INFA_Soh_CCL141_2019,0.40361906288629745,0.39326710179649593,0.4094081468915119,0.407951993688213,0.3325495987943195,0.336157068274433,0.02562683354762951,0.03261444503278893,0.26000030398976853,0.4048500514671486,0.4109097812562029,0.34014798383550277,0.45392048517890926,14421,A4D664_9INFA,medium,Virus
A4GRB6_PSEAI_Chen_2020,0.5982122089602063,0.6634568570346916,0.6718620356908503,0.6903898613978321,0.7072964905778694,0.6850587038649043,0.6470637002328481,0.6628015231569235,0.6135022638173424,0.6875667664160058,0.48212805178065354,0.6460010741062963,0.6984761750385122,3624,A4GRB6_PSEAI,high,Prokaryote
AACC1_PSEAI_Dandage_2018,0.4065360600934696,0.4479918138912742,0.4989070948974616,0.4978173219501657,0.5049665294347807,0.5025440451940878,0.4879083297476817,0.4858323856262529,0.3830616211846942,0.49318018705521666,0.2719502211223037,0.45133369606067336,0.4834039430402071,1464,AACC1_PSEAI,high,Prokaryote
ADRB2_HUMAN_Jones_2020,0.5013377590549591,0.5417820843656226,0.5339254955423547,0.5370507975119069,0.43633363006254794,0.5044380504118418,0.5230345836019332,0.5408086609463229,0.5485553368636075,0.5301854986950403,0.45873721133002887,0.5104499490768755,0.5548324580619083,5575,ADRB2_HUMAN,medium,Human
AMIE_PSEAE_Wrenbeck_2017,0.5007963656839056,0.5852008598150663,0.5576975755168027,0.5656835027140049,0.6112567480544294,0.6093066176803734,0.6056301101894503,0.657352069702997,0.508852374799764,0.5471568634300928,0.38274695789077745,0.5353722529960576,0.608426107412749,4581,AMIE_PSEAE,high,Prokaryote
B3VI55_LIPST_Klesmith_2015,0.4913786167560387,0.46758864728261207,0.4357591628228424,0.43891895934333336,0.5345389272702125,0.5084835871065317,0.48283984006302505,0.5150675142743895,0.4575280049853763,0.43767442318880984,0.3329359461215215,0.4472039060316086,0.46525772780833313,6433,B3VI55_LIPST,medium,Eukaryote
BLAT_ECOLX_Deng_2012,0.3806360766403637,0.4800625520523694,0.5056364993009612,0.5353577804530444,0.5571201318095026,0.5629290811744632,0.5323049261057305,0.5599047971916702,0.4966497086229599,0.5400043581209139,0.3068713473963202,0.5163963931355211,0.542398503179624,4085,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Firnberg_2014,0.5206029410442763,0.6777728930816772,0.7412378867888684,0.7669590073717409,0.737446054675127,0.7454192428879193,0.6845666304409376,0.74075230511927,0.7021287261218467,0.7628340302334661,0.4864504194228232,0.7321526744271369,0.7700913800575236,3920,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Jacquier_2013,0.5385169100512328,0.6831038390944069,0.7419310025013758,0.7530308717428738,0.7042065116287568,0.7112568632273518,0.6772943961155408,0.7175635755649444,0.6722914976161009,0.7357464993916971,0.46995179489538663,0.7055782096469722,0.7569529098122688,802,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Stiffler_2015,0.5178519329468322,0.6674325293652584,0.7395786730542712,0.7621813619682624,0.7258681086134289,0.7368716357228288,0.6898059070612758,0.7410844620736335,0.6947103923011131,0.7577060288438247,0.47914451998816177,0.7268693341721842,0.761264478964322,4085,BLAT_ECOLX,high,Prokaryote
BRCA1_HUMAN_Findlay_2018,0.538003774680604,0.5736589784376105,0.321513079065215,0.31565230015654194,0.4023851184164015,0.44972851335656217,0.4417595187597839,0.4457888956218755,0.32268709286471753,0.2651373149084729,0.4662097504691144,0.35167443245122165,0.5224960233297986,575,BRCA1_HUMAN,low,Human
C6KNH7_9INFA_Lee_2018,0.4010980469029719,0.44547784210759084,0.4347160192121463,0.43838094316902804,0.407622612879622,0.40821293325724184,0.41996945188080204,0.48421039634431207,0.35220643584115,0.3620537818180813,0.40904573492457796,0.3786861325346588,0.45747735194938455,10507,C6KNH7_9INFA,medium,Virus
CALM1_HUMAN_Weile_2017,0.30596698834531305,0.2834419007247156,0.24422979255047894,0.24193751832544966,0.254319735173734,0.2689007528274683,0.2459615737920828,0.2750986478722205,0.23870398348553656,0.23841877652621465,0.19213771996074874,0.24278795245615223,0.26884489371937004,1660,CALM1_HUMAN,high,Human
CAPSD_AAV2S_Sinai_substitutions_2021,0.49236996095185076,0.4732614908625582,0.34648996018189404,0.3298362716623275,0.34959056210686024,0.3681068614117199,0.19585863301522305,0.1992587672562472,0.25799194015026466,0.36203547922783613,0.41219217865327806,0.3362414463368285,0.418890003697329,42328,CAPSD_AAV2S,low,Virus
CCDB_ECOLI_Adkar_2012,0.2368127014486055,0.41040776217330716,0.4884437417625301,0.4878807267916951,0.46984801568188345,0.48517689081220094,0.3848412159611054,0.46088617887928607,0.4653526425616256,0.4532711660752209,0.287348444828709,0.42180447865999143,0.4680116703948814,1005,CCDB_ECOLI,high,Prokaryote
CCDB_ECOLI_Tripathi_2016,0.3819722713083685,0.5007361222313627,0.4922416187777307,0.49704888658772806,0.5073055151639085,0.5231292688252708,0.46808170644499925,0.5077643674920577,0.5240715701974686,0.49291798198419956,0.4052078845136774,0.4655028475144587,0.5146912745565642,1423,CCDB_ECOLI,high,Prokaryote
CP2C9_HUMAN_Amorosi_abundance_2021,0.5791752418478286,0.6309444551574267,0.6091518961881016,0.6213604261155921,0.5831032409249346,0.5963130641998341,0.59417960777025,0.6290011645770295,0.6239266974876735,0.5975369534408134,0.5219022738694779,0.5950575355684881,0.6484250305763021,5607,CP2C9_HUMAN,high,Human
CP2C9_HUMAN_Amorosi_activity_2021,0.6103787569051212,0.6730974807305683,0.6400974109890618,0.6549272268569946,0.609062899204981,0.6281261221432991,0.6528148862147757,0.6803831083539206,0.6661116842035707,0.6379368112951713,0.563982599054571,0.621983335799256,0.6864180797829418,5431,CP2C9_HUMAN,high,Human
DLG4_HUMAN_Faure_2021,0.5760663135340418,0.6618987119326633,0.5938753122468243,0.621087914825067,0.5952739792337762,0.6079091351313877,0.5436903346525095,0.6026028560310329,0.6454404417390038,0.5615468137900909,0.662112124827997,0.5735013936645248,0.6568436938881105,6726,DLG4_HUMAN,low,Human
DLG4_RAT_McLaughlin_2012,0.3041549374638473,0.4456022880521592,0.522690194729763,0.5412153944148173,0.5065894093777701,0.5094677074267678,0.5645850688479915,0.5967010199097003,0.43622519177689933,0.5090979030330466,0.49352416553263084,0.5056239458794967,0.5250999915611542,1501,DLG4_RAT,low,Eukaryote
DYR_ECOLI_Thompson_plusLon_2019,0.34832807461280024,0.4244262783050224,0.4677173718349661,0.470073923982522,0.4875862808108046,0.4902770741315349,0.420497351504756,0.4388700787772041,0.4880571431073499,0.46887388788535256,0.39705130101063824,0.49399620306792535,0.4737911301887662,2327,DYR_ECOLI,medium,Prokaryote
ENV_HV1B9_DuenasDecamp_2016,0.40354587458401275,0.4074188782624282,0.38848914942757246,0.37675660291086654,0.3800931220864542,0.37535926116570395,0.4154322170311097,0.388698392716384,0.38769237041863636,0.37880064074602515,0.3642338172186421,0.4195016012388975,0.3973186921991094,375,ENV_HV1B9,medium,Virus
ENV_HV1BR_Haddox_2016,0.35785392544507133,0.36330050516310824,0.3406852747506022,0.34396869456536466,0.34495152117200084,0.34737862511724005,0.32175280335701856,0.3379354713042345,0.3357950540491779,0.3102507564489698,0.337471545628302,0.30036104600856306,0.3630937355515774,12563,ENV_HV1BR,medium,Virus
ESTA_BACSU_Nutschel_2020,0.2629069952679844,0.3254147593377578,0.3748291829812209,0.3988291607760259,0.4279310716123334,0.4280744613588443,0.304355517433353,0.33206582568378773,0.32157736410018506,0.4338216983719502,0.26260033990618836,0.39418389358324346,0.3992248645195873,2030,ESTA_BACSU,high,Prokaryote
F7YBW8_MESOW_Aakre_2015,0.43372051731311817,0.4251653451434692,0.41110006279646893,0.4103780842234415,0.375429279927539,0.41390377711293425,0.3822288768941203,0.3935397510117879,0.39119079767359527,0.4105083291436216,0.05704565070974928,0.3700259078777775,0.4285574707445108,9174,F7YBW8_MESOW,high,Prokaryote
GAL4_YEAST_Kitzman_2015,0.32617947740375286,0.5257635220204151,0.5110094603586363,0.5483620046422739,0.5833946083906092,0.5622569380576404,0.4411471931031021,0.4472909055793884,0.494372791386575,0.5381351807894943,0.37524051032037337,0.5089355460913696,0.5585454791467385,1051,GAL4_YEAST,medium,Eukaryote
GCN4_YEAST_Staller_induction_2018,0.38388716250651167,0.35594600671227056,0.2522981489256123,0.2553439914903913,0.2877053570092605,0.2935296262183551,0.2876051492678209,0.30661606864332464,0.28497001455490534,0.24264745030254073,0.284284935689921,0.27612552796762835,0.29285002245477015,1053,GCN4_YEAST,low,Eukaryote
GFP_AEQVI_Sarkisyan_2016,0.6311203703812258,0.6765609966008319,0.6792157052520641,0.6784245095642321,0.6518997635723686,0.6611724967045937,0.09898436572766965,0.10250778687923062,0.6030822436258423,0.6743743410151565,0.6584008916289823,0.644217559775834,0.7057143226685278,48211,GFP_AEQVI,low,Eukaryote
GRB2_HUMAN_Faure_2021,0.4288379379699377,0.4892838252659844,0.5657560935436726,0.5680472368815145,0.4683212621152456,0.4738252933643566,0.48356273109063214,0.5119594181814131,0.47987994853287835,0.4698095512463897,0.4801914257058063,0.5450323229346179,0.5665028904542858,14681,GRB2_HUMAN,medium,Human
HIS7_YEAST_Pokusaeva_2019,0.5849586676775979,0.6162846031015285,0.4764604303254921,0.48124573133916826,0.5080502105904584,0.5063783024732165,0.4109882967504103,0.4766704425074482,0.45393859649775853,0.46578614016636827,0.45877634429596553,0.5194146827935145,0.5798591525968105,496102,HIS7_YEAST,medium,Eukaryote
HSP82_YEAST_Flynn_2019,0.36839776086312015,0.3922573929425444,0.39998979285478314,0.40175695835141584,0.40686838870467634,0.4094397070367992,0.4319365846596913,0.45583013837561254,0.39470737919024446,0.41732109990004984,0.34841514038429366,0.3803412786982925,0.4104977817701736,11425,HSP82_YEAST,medium,Eukaryote
HSP82_YEAST_Mishra_2016,0.5034088800301936,0.5300507425978573,0.5374734007425751,0.5442659249659852,0.4821952200482174,0.4801672585775871,0.5683000664120206,0.5750367765286927,0.4872907518950496,0.5438465427091892,0.5077845380483764,0.4852390958578728,0.5518102261099675,3990,HSP82_YEAST,medium,Eukaryote
I6TAH8_I68A0_Doud_2015,0.33679093956967987,0.34792537155614767,0.36377751730031915,0.3610442808061402,0.3032898646910066,0.3241829206132658,0.01790852477393205,0.013582320869301388,0.2120250493043396,0.28645470405603773,0.3473537359191111,0.3174175435932609,0.3965669402202488,9462,I6TAH8_I68A0,medium,Virus
IF1_ECOLI_Kelsic_2016,0.5483430910258951,0.5090618222458205,0.5245528320785778,0.5393230821309861,0.22700824159658492,0.2445312782809558,0.5383525869613613,0.572750432109221,0.5351082716082067,0.5463039547371038,0.34210171277599793,0.4629582628978464,0.5453872781196608,1102,IF1_ECOLI,high,Prokaryote
KCNH2_HUMAN_Kozek_2020,0.48409341416368146,0.5131441168365941,0.22937965004133368,0.22974648663543673,0.3682229953155139,0.3337679112703224,0.23294984844309724,0.2537389776798016,0.39456289611463213,0.1820043400385781,0.44360215040400575,0.4121784387749754,0.45334286304767146,191,KCNH2_HUMAN,medium,Human
KKA2_KLEPN_Melnikov_2014,0.5840474097188777,0.5837705958008567,0.5973116351950523,0.6170912938008187,0.5760100905284834,0.5934620502262176,0.6136719043444226,0.6360213693416974,0.49776555009016105,0.6049588998068035,0.28189802971480615,0.5663911735690806,0.6213759162769938,3958,KKA2_KLEPN,high,Prokaryote
MK01_HUMAN_Brenan_2016,0.03393552959039795,0.13887800963015523,0.25088504138825524,0.24981817941227508,0.15336085485327217,0.15532838809376526,0.18259998133905267,0.19957769579533816,0.20554800482504798,0.24346043340970008,0.23988985196394658,0.23500543439023278,0.2068127478973942,5501,MK01_HUMAN,medium,Human
MSH2_HUMAN_Jia_2020,0.2922093934274302,0.3603368770438154,0.40540380967442,0.4040710980974028,0.4097300968387096,0.4165492907809068,0.3979819634600105,0.4188612189573008,0.38530244888303083,0.39561322986673414,0.3708780062048099,0.4241655407022155,0.4079539233115723,15110,MSH2_HUMAN,medium,Human
MTH3_HAEAE_Rockah-Shmuel_2015,0.6733109915795681,0.6549874243738802,0.7102865045815177,0.713944475822251,0.6871604138087326,0.6919325048852142,0.701169390654328,0.7217450337943505,0.6797368910599274,0.7138454287195686,0.4686434308251406,0.6865745363834684,0.7124334594638875,1581,MTH3_HAEAE,medium,Prokaryote
NCAP_I34A1_Doud_2015,0.41537608228963263,0.4244667637123004,0.3625816936361796,0.36366328201807663,0.33824280242716814,0.35827819965327135,0.01895554696128465,0.020386018267695583,0.2690084001771786,0.316021869202481,0.36359702250062087,0.32813728291846417,0.44059944269452994,9462,NCAP_I34A1,medium,Virus
NRAM_I33A0_Jiang_standard_2016,0.5513143601850925,0.621219489909306,0.5843247631984135,0.5844793924747237,0.51923490703765,0.6281397168470411,0.16249473704974143,0.44833171562088986,0.3426301351600447,0.49117128049138553,0.504413230611585,0.5343856148345056,0.6358838774946157,298,NRAM_I33A0,low,Virus
NUD15_HUMAN_Suiter_2020,0.5471705622867293,0.5910313574762197,0.6076269898489217,0.6049627039467931,0.6303029421656431,0.671655967404237,0.6145965234199808,0.6617774469628194,0.5097253104553731,0.5889783028823727,0.4228300038385949,0.5473680874928937,0.6362330407955267,2088,NUD15_HUMAN,high,Human
P53_HUMAN_Giacomelli_NULL_Etoposide_2018,0.3919944616139229,0.44376327630965734,0.478935105841466,0.47892636944244255,0.34444778965559303,0.34578557485453465,0.47738778793310344,0.5308429748715672,0.14680734468151505,0.35758112864429353,0.4756240355549902,0.4768976813916541,0.4937122983427559,6403,P53_HUMAN,low,Human
P53_HUMAN_Giacomelli_NULL_Nutlin_2018,0.33962861646149645,0.3867805352717621,0.40941780346005413,0.4077078923555541,0.3262319756875265,0.32943303814789404,0.425695089054282,0.4763486867533166,0.157887117739528,0.30219695987876904,0.41250450554199236,0.42074150637752294,0.427815838083747,6403,P53_HUMAN,low,Human
P53_HUMAN_Giacomelli_WT_Nutlin_2018,0.39798176659004264,0.4481541584383367,0.5376909212113832,0.539487330456963,0.3305025127378298,0.3250486303749288,0.5076035112352641,0.5700314495221489,0.06564620554231557,0.3906788460225938,0.5194793575462714,0.5198358740410576,0.5131183933268301,6403,P53_HUMAN,low,Human
