,Tranception_no_retrieval,Tranception_retrieval,EVE_single,EVE_ensemble,MSA_Transformer_single,MSA_Transformer_ensemble,ESM1v_single,ESM1v_ensemble,Wavenet,DeepSequence,Site_Independent,EVmutation,Ensemble_tranception_EVE,number_mutants,UniProt_ID,Neff_L_category,Taxon
A0A140D2T1_ZIKV_Sourisseau_growth_2019,0.6311546839437563,0.6698631842532732,0.6790030067349,0.6906506369530512,0.7326092501314865,0.7191824101353961,0.45936181353589234,0.4878035941187148,0.6120885869742286,0.5681615631297969,0.6898611828662654,0.6784423856533132,0.687630125063416,9272,A0A140D2T1_ZIKV,medium,Virus
A0A192B1T2_9HIV1_Haddox_2018,0.7761166143299794,0.776756810363497,0.7773367871035184,0.7773711981283735,0.7756549677858666,0.7760618482208304,0.764883575164923,0.7757115169171054,0.7506171599087093,0.7283437390676017,0.7587964548835543,0.722873388252149,0.7824335622542813,12484,A0A192B1T2_9HIV1,medium,Virus
A0A1I9GEU1_NEIME_Kennouche_2019,0.538537347053704,0.5174512363692213,0.4932070086520247,0.49599395894127885,0.5330658373009778,0.5350304612706702,0.5017150463318487,0.5085624328060205,0.5244970050683458,0.49869451697127937,0.4872683407566682,0.500502354988993,0.5044092049352378,791,A0A1I9GEU1_NEIME,medium,Prokaryote
A0A2Z5U3Z0_9INFA_Doud_2016,0.7799163867837544,0.7835111050767456,0.7751621732642048,0.7801689992417951,0.5840863636809831,0.7722262473792515,0.7631304157862824,0.7815814561940917,0.7090146029559738,0.7434375816528134,0.7453787012219627,0.7422840791246484,0.7906019194943839,10432,A0A2Z5U3Z0_9INFA,medium,Virus
A0A2Z5U3Z0_9INFA_Wu_2014,0.7712923991086902,0.7843551726092288,0.7794895849801782,0.7778534290666006,0.7559666743229417,0.7677202993702962,0.7407684712606305,0.7668246643419431,0.7338487398467353,0.723479955971447,0.7529576090944616,0.7647470297133074,0.7903110336866157,2316,A0A2Z5U3Z0_9INFA,medium,Virus
A4_HUMAN_Seuma_2021,0.6914137089187542,0.7425578179498517,0.6713507266655114,0.6712110396523339,0.7032848493794006,0.703314857361736,0.6639453870530392,0.7093520334827775,0.6238076140729398,0.7085350895396549,0.7120327594241644,0.7062893202892211,0.7306251384724273,14477,A4_HUMAN,low,Human
A4D664_9INFA_Soh_CCL141_2019,0.710930528582565,0.7036337130185795,0.7150543619693368,0.7142937540908278,0.6882405540464359,0.690219432824447,0.5115601626502584,0.5143270192653349,0.6354020123747602,0.7123901955923019,0.7138459869543583,0.6812979515230526,0.7362327088892355,14421,A4D664_9INFA,medium,Virus
A4GRB6_PSEAI_Chen_2020,0.8145452397355384,0.8507953337148767,0.8534058879398042,0.8631584115727309,0.8773978540489369,0.8593074835171748,0.8415120163132788,0.8534990233820594,0.8211277827473882,0.8629805796492154,0.7485257135141521,0.8395213421323566,0.8688585461357997,3624,A4GRB6_PSEAI,high,Prokaryote
AACC1_PSEAI_Dandage_2018,0.7024093912134671,0.7268224403717667,0.7575538427083722,0.7571759172856556,0.756155052069725,0.755136053152178,0.7416725766115486,0.7454667612257848,0.6960453137247583,0.7559516255458922,0.6357358814527265,0.7324623940875667,0.7473685192788624,1464,AACC1_PSEAI,high,Prokaryote
ADRB2_HUMAN_Jones_2020,0.7540207985804732,0.7744998942654292,0.7692611354068044,0.7699073507532381,0.7183810695400706,0.7540805761836368,0.7639181850580412,0.7716139979690374,0.7768377956542556,0.7671671749440198,0.7320554478529978,0.7559560230061252,0.779291159731123,5575,ADRB2_HUMAN,medium,Human
