UniProt_ID,EVE_score,EVE_score_1,EVE_score_2,EVE_score_3,EVE_score_4,EVE_score_5+,Tranception_no_retrieval_score,Tranception_no_retrieval_score_1,Tranception_no_retrieval_score_2,Tranception_no_retrieval_score_3,Tranception_no_retrieval_score_4,Tranception_no_retrieval_score_5+,Tranception_retrieval_score,Tranception_retrieval_score_1,Tranception_retrieval_score_2,Tranception_retrieval_score_3,Tranception_retrieval_score_4,Tranception_retrieval_score_5+,MSA_transformer_score,MSA_transformer_score_1,MSA_transformer_score_2,MSA_transformer_score_3,MSA_transformer_score_4,MSA_transformer_score_5+,ESM1v_score,ESM1v_score_1,ESM1v_score_2,ESM1v_score_3,ESM1v_score_4,ESM1v_score_5+,Wavenet_score,Wavenet_score_1,Wavenet_score_2,Wavenet_score_3,Wavenet_score_4,Wavenet_score_5+,Deepsequence_score,Deepsequence_score_1,Deepsequence_score_2,Deepsequence_score_3,Deepsequence_score_4,Deepsequence_score_5+,Epistatic_score,Epistatic_score_1,Epistatic_score_2,Epistatic_score_3,Epistatic_score_4,Epistatic_score_5+,Independent_score,Independent_score_1,Independent_score_2,Independent_score_3,Independent_score_4,Independent_score_5+,Ensemble_EVE,Ensemble_EVE_1,Ensemble_EVE_2,Ensemble_EVE_3,Ensemble_EVE_4,Ensemble_EVE_5+,Ensemble_ESM1v,Ensemble_ESM1v_1,Ensemble_ESM1v_2,Ensemble_ESM1v_3,Ensemble_ESM1v_4,Ensemble_ESM1v_5+,Ensemble_MSA_transformer,Ensemble_MSA_transformer_1,Ensemble_MSA_transformer_2,Ensemble_MSA_transformer_3,Ensemble_MSA_transformer_4,Ensemble_MSA_transformer_5+,Ensemble_tranception_no_retrieval_EVE,Ensemble_tranception_no_retrieval_EVE_1,Ensemble_tranception_no_retrieval_EVE_2,Ensemble_tranception_no_retrieval_EVE_3,Ensemble_tranception_no_retrieval_EVE_4,Ensemble_tranception_no_retrieval_EVE_5+,Ensemble_tranception_retrieval_EVE,Ensemble_tranception_retrieval_EVE_1,Ensemble_tranception_retrieval_EVE_2,Ensemble_tranception_retrieval_EVE_3,Ensemble_tranception_retrieval_EVE_4,Ensemble_tranception_retrieval_EVE_5+,Ensemble_tranception_retrieval_EVE_ensemble,Ensemble_tranception_retrieval_EVE_ensemble_1,Ensemble_tranception_retrieval_EVE_ensemble_2,Ensemble_tranception_retrieval_EVE_ensemble_3,Ensemble_tranception_retrieval_EVE_ensemble_4,Ensemble_tranception_retrieval_EVE_ensemble_5+,number_mutants,Neff_L_category,Taxon
A0A140D2T1_ZIKV,0.3660679631,0.3660679631,,,,,0.2683625596,0.2683625596,,,,,0.3460480865,0.3460480865,,,,,0.4647784382,0.4647784382,,,,,-0.06361793739,-0.06361793739,,,,,0.2141584006,0.2141584006,,,,,0.1409182408,0.1409182408,,,,,0.3609955818,0.3609955818,,,,,0.3818659703,0.3818659703,,,,,0.3899661983,0.3899661983,,,,,-0.001747724084,-0.001747724084,,,,,0.441433178,0.441433178,,,,,0.3593190437,0.3593190437,,,,,0.3723782592,0.3723782592,,,,,0.3809237138,0.3809237138,,,,,9272,medium,Virus
A0A192B1T2_9HIV1,0.5097496646,0.5097496646,,,,,0.5100444428,0.5100444428,,,,,0.5088904282,0.5088904282,,,,,0.5103543507,0.5103543507,,,,,0.4880339043,0.4880339043,,,,,0.4625116958,0.4625116958,,,,,0.4154630866,0.4154630866,,,,,0.4044749288,0.4044749288,,,,,0.4767262649,0.4767262649,,,,,0.5110634268,0.5110634268,,,,,0.5120491089,0.5120491089,,,,,0.5106937152,0.5106937152,,,,,0.5321158654,0.5321158654,,,,,0.5240296866,0.5240296866,,,,,0.5234698502,0.5234698502,,,,,12484,medium,Virus
A0A1I9GEU1_NEIME,-0.003765597608,-0.003765597608,,,,,0.08796133456,0.08796133456,,,,,0.04420107006,0.04420107006,,,,,0.07676786912,0.07676786912,,,,,0.04587651686,0.04587651686,,,,,0.05474404473,0.05474404473,,,,,0.002341964638,0.002341964638,,,,,0.01453977671,0.01453977671,,,,,-0.01160190964,-0.01160190964,,,,,0.0008774517522,0.0008774517522,,,,,0.05061358278,0.05061358278,,,,,0.08713627993,0.08713627993,,,,,0.03417240377,0.03417240377,,,,,0.01918043797,0.01918043797,,,,,0.02074830242,0.02074830242,,,,,791,medium,Prokaryote
A0A2Z5U3Z0_9INFA,0.5290457105,0.5290457105,,,,,0.5281281621,0.5281281621,,,,,0.5445230767,0.5445230767,,,,,0.3259255503,0.3259255503,,,,,0.4845794109,0.4845794109,,,,,0.4358630946,0.4358630946,,,,,0.4560195422,0.4560195422,,,,,0.4859869741,0.4859869741,,,,,0.478243527,0.478243527,,,,,0.5333727482,0.5333727482,,,,,0.526137685,0.526137685,,,,,0.5203897191,0.5203897191,,,,,0.5721779723,0.5721779723,,,,,0.5588248534,0.5588248534,,,,,0.5619092322,0.5619092322,,,,,6374,medium,Virus
A4D664_9INFA,0.4094081469,0.4094081469,,,,,0.4036193562,0.4036193562,,,,,0.3932669963,0.3932669963,,,,,0.3325495988,0.3325495988,,,,,0.02562683355,0.02562683355,,,,,0.260000304,0.260000304,,,,,0.4048500515,0.4048500515,,,,,0.3401479838,0.3401479838,,,,,0.4109097813,0.4109097813,,,,,0.4079519937,0.4079519937,,,,,0.03261444503,0.03261444503,,,,,0.3361570683,0.3361570683,,,,,0.4697350866,0.4697350866,,,,,0.4577332595,0.4577332595,,,,,0.4570130582,0.4570130582,,,,,14421,medium,Virus
A4GRB6_PSEAI,0.6718620357,0.6718620357,,,,,0.5982116377,0.5982116377,,,,,0.6634565079,0.6634565079,,,,,0.7072964906,0.7072964906,,,,,0.6470637002,0.6470637002,,,,,0.6135022638,0.6135022638,,,,,0.6875667664,0.6875667664,,,,,0.6460010741,0.6460010741,,,,,0.4821280518,0.4821280518,,,,,0.6903898614,0.6903898614,,,,,0.6628015232,0.6628015232,,,,,0.6850587039,0.6850587039,,,,,0.6857616002,0.6857616002,,,,,0.6906857509,0.6906857509,,,,,0.6997115975,0.6997115975,,,,,3624,high,Prokaryote
A4_HUMAN,0.3009564929,0.3422854832,0.2939809338,,,,0.3635156067,0.3603247827,0.3552423236,,,,0.4517345642,0.4257287009,0.4456024504,,,,0.3935606106,0.41886231,0.3907392989,,,,0.3088809663,0.3598820824,0.2998006219,,,,0.2450900991,0.2673396944,0.2346800749,,,,0.4006132983,0.4369966574,0.3938519179,,,,0.3806287703,0.3865655197,0.3780203557,,,,0.3886559934,0.3736542821,0.3834349995,,,,0.3004842081,0.3485419778,0.293865458,,,,0.3979655671,0.435289868,0.3942907432,,,,0.391764426,0.4192052081,0.3896038226,,,,0.4032836878,0.4054138914,0.3985361738,,,,0.4168919852,0.4188571004,0.4123747599,,,,0.4147733194,0.4205014074,0.410679569,,,,14477,low,Human
AACC1_PSEAI,0.4989070949,0.4989070949,,,,,0.4065360857,0.4065360857,,,,,0.4479900169,0.4479900169,,,,,0.5049665294,0.5049665294,,,,,0.4879083297,0.4879083297,,,,,0.3830616212,0.3830616212,,,,,0.4931801871,0.4931801871,,,,,0.4513336961,0.4513336961,,,,,0.2719502211,0.2719502211,,,,,0.497817322,0.497817322,,,,,0.4858323856,0.4858323856,,,,,0.5025440452,0.5025440452,,,,,0.4829136951,0.4829136951,,,,,0.4857481542,0.4857481542,,,,,0.4833112063,0.4833112063,,,,,1464,high,Prokaryote
ADRB2_HUMAN,0.5339254955,0.5339254955,,,,,0.5013380367,0.5013380367,,,,,0.5417827814,0.5417827814,,,,,0.4363336301,0.4363336301,,,,,0.5230345836,0.5230345836,,,,,0.5485553369,0.5485553369,,,,,0.5301854987,0.5301854987,,,,,0.5104499491,0.5104499491,,,,,0.4587372113,0.4587372113,,,,,0.5370507975,0.5370507975,,,,,0.5408086609,0.5408086609,,,,,0.5044380504,0.5044380504,,,,,0.5508159412,0.5508159412,,,,,0.5539675598,0.5539675598,,,,,0.5547807126,0.5547807126,,,,,5575,medium,Human
AMIE_PSEAE,0.5576975755,0.5576975755,,,,,0.5007971686,0.5007971686,,,,,0.5852007569,0.5852007569,,,,,0.6112567481,0.6112567481,,,,,0.6056301102,0.6056301102,,,,,0.5088523748,0.5088523748,,,,,0.5471568634,0.5471568634,,,,,0.535372253,0.535372253,,,,,0.3827469579,0.3827469579,,,,,0.5656835027,0.5656835027,,,,,0.6573520697,0.6573520697,,,,,0.6093066177,0.6093066177,,,,,0.6078381128,0.6078381128,,,,,0.6114576642,0.6114576642,,,,,0.6143819113,0.6143819113,,,,,4581,high,Prokaryote
