UniProt_ID,Tranception_no_retrieval,Tranception_retrieval,EVE_single,EVE_ensemble,MSA_Transformer_single,MSA_Transformer_ensemble,ESM1v_single,ESM1v_ensemble,Wavenet,DeepSequence,Site_Independent,EVmutation,Ensemble_tranception_EVE,number_mutants,Neff_L_category,Taxon
A0A140D2T1_ZIKV,0.19200888114337683,0.24508099885266973,0.25327913085654424,0.2817568525542136,0.3542455986937357,0.3413011797402496,-0.04875731139146423,-0.009924054531005993,0.16914040765888474,0.09751462278292845,0.26838095296894465,0.2451052166402015,0.27442168181390486,9272.0,medium,Virus
A0A192B1T2_9HIV1,0.39527482988944884,0.39527482988944884,0.39190583999772666,0.39559750321997084,0.40043760317780086,0.40108294983884485,0.38849868994848685,0.39688819654205887,0.356554030226809,0.332676203768181,0.35461799024367696,0.32880412380191704,0.40140562316936684,12484.0,medium,Virus
A0A1I9GEU1_NEIME,0.09237442144376407,0.07213673487347813,0.006364253520048833,-0.00881401140766562,0.03672078337547774,0.07213673487347813,0.021542518447763285,0.05189904830319219,0.04178020501804922,0.006364253520048833,-0.013873433050237104,0.011423675162620318,0.03672078337547774,791.0,medium,Prokaryote
A0A2Z5U3Z0_9INFA,0.4152924540100502,0.4274824673322537,0.4202914160627287,0.4178924691003335,0.25901607282454414,0.40791030230499903,0.37711471295286114,0.4079030652829235,0.32054501313897,0.34364711898305866,0.38221686513111797,0.3860613782275405,0.43074497730493455,6374.0,medium,Virus
A4D664_9INFA,0.3136398371189339,0.2964426939809749,0.32556688800493777,0.3225157819643321,0.2742528318674794,0.28090979050152803,0.018792044285862387,0.024894256367073653,0.1940919549824769,0.33083698025689295,0.34387352424857154,0.2522017143482319,0.3635670268742988,14421.0,medium,Virus
A4GRB6_PSEAI,0.46034048046488524,0.5401106720255874,0.5456502686617473,0.5711324131880826,0.6065858316595057,0.5822116064604024,0.5423265106800513,0.5478661073162112,0.4780671897005968,0.5600532199157628,0.3794623695769511,0.510196850190324,0.5711324131880826,3624.0,high,Prokaryote
A4_HUMAN,0.23513440795033963,0.35787722918366627,0.24013298438065608,0.2492970411695696,0.2895633513026745,0.2928957355895522,0.21514010222907373,0.2909518447555402,0.16071115887673887,0.29817201071044175,0.35315635144392293,0.3212210020280121,0.3348282378660959,14477.0,low,Human
AACC1_PSEAI,0.2814218154555999,0.3278700762589513,0.37705058769779404,0.39890859278172414,0.3715860864268115,0.39071184087525035,0.3415313294364076,0.366121585155829,0.2677605622781436,0.3797828383332853,0.1830607925779145,0.33879907880091636,0.3633893345203377,1464.0,high,Prokaryote
ADRB2_HUMAN,0.38154592677844096,0.404989584692206,0.4115831134804524,0.41451357071967304,0.32000632475480784,0.3749523979901946,0.4064548133118163,0.4101178848608421,0.4320963141549968,0.40865265624123176,0.34198475404896256,0.3866742269470771,0.4320963141549968,5575.0,medium,Human
AMIE_PSEAE,0.3902535079043986,0.45052528511425144,0.4407754388008929,0.4381163898063406,0.492183719362238,0.4726840267355209,0.46204783075731154,0.5232059576320152,0.3875944589098463,0.42748019382813124,0.28743694678170845,0.3982306548880556,0.4726840267355209,4581.0,high,Prokaryote
