UniProt_ID,Tranception_no_retrieval,Tranception_retrieval,MSA_Transformer_single,MSA_Transformer_ensemble,ESM1v_single,ESM1v_ensemble,Wavenet,number_mutants,Neff_L_category,Taxon
A0A140D2T1_ZIKV,0.6327970528521247,0.6720841717214227,0.7365737512815734,0.7243060659166713,0.46385711999994417,0.4934908456046828,0.612026336901848,9576.0,medium,Virus
A0A192B1T2_9HIV1,0.7780772541879041,0.7787838074108091,0.7774319589579126,0.7777479380784855,0.7666623404649104,0.7777569232667482,0.7517781841164911,12577.0,medium,Virus
A0A1I9GEU1_NEIME,0.5495388669301713,0.5311311876529268,0.551468097120271,0.5525174101261058,0.5210286090720874,0.5247835497835498,0.5378082062864671,922.0,medium,Prokaryote
A0A2Z5U3Z0_9INFA,0.7704498390317509,0.7804090172018632,0.6718591972995342,0.7709307823893223,0.7546178536969521,0.7763298858311194,0.7211122826892538,6532.5,medium,Virus
A4D664_9INFA,0.710930528582565,0.7036337130185795,0.6882405540464359,0.690219432824447,0.5115601626502584,0.5143270192653349,0.6354020123747602,14421.0,medium,Virus
A4GRB6_PSEAI,0.8404685302826096,0.8561552311858014,0.8810318344507944,0.8619280805772767,0.8529174209494104,0.8667693383760398,0.8060301507537689,5004.0,high,Prokaryote
A4_HUMAN,0.6914194156485951,0.7425114331389986,0.7032235905845312,0.703228474030451,0.6638980289487593,0.7093044150627742,0.6238624508780243,14483.0,low,Human
AACC1_PSEAI,0.7080533974596127,0.735889752127266,0.7522333210013564,0.7457220372425699,0.7414058453570108,0.7483623134788507,0.7006387963990628,1801.0,high,Prokaryote
ADRB2_HUMAN,0.7594476331360946,0.7735236028928338,0.7214157133464826,0.756195792241946,0.7698770545693623,0.7752945430637739,0.7676444444444445,7800.0,medium,Human
AMIE_PSEAE,0.7353406509383961,0.7448164213263582,0.8285028639713171,0.812372587163739,0.8330790492395099,0.861700193998648,0.7588321169991549,6227.0,high,Prokaryote
B3VI55_LIPST,0.7674321990744086,0.7553149532304934,0.7828516628354707,0.773977038525608,0.7557326098236045,0.771493331148668,0.7418959360407118,7890.0,medium,Eukaryote
BLAT_ECOLX,0.7253605582434997,0.7981386829985891,0.8327027280056039,0.8326391272744661,0.8168615832927562,0.831884487118829,0.8058162051966927,3941.0,high,Prokaryote
BRCA1_HUMAN,0.7897307069600131,0.8455984100597156,0.8110150419000033,0.8322900898056225,0.7746779720831747,0.8045853184369303,0.6989391111069836,1837.0,low,Human
C6KNH7_9INFA,0.7010603577481271,0.7193143403586777,0.7004746001237059,0.7021120962762721,0.716957838006326,0.7466510681382199,0.6735884790774141,10754.0,medium,Virus
CALM1_HUMAN,0.6739292868077815,0.6534958660990919,0.6350934964989011,0.6449274833220159,0.6287107145551767,0.6500166718994527,0.6301113974945907,1813.0,high,Human
CAPSD_AAV2S,0.7568985577355016,0.7400720957444054,0.6700905708542348,0.6806873873557782,0.6085129169517196,0.6104840678884675,0.6295414206162067,42328.0,low,Virus
CCDB_ECOLI,0.730222972941732,0.8147703981624368,0.7640927860297139,0.7994301006364581,0.7545281834624304,0.7961009444083684,0.8125505170990239,1419.5,high,Prokaryote
CP2C9_HUMAN,0.786557759851843,0.8153190909321998,0.7880299813418159,0.7961455140259821,0.8069090942919855,0.8223993700233452,0.8149865883673427,6256.0,high,Human
DLG4_HUMAN,0.8166409998106221,0.8672454887925047,0.8304044403880145,0.8401555990131303,0.8011655952781753,0.8340691183665094,0.8539033402859608,6976.0,low,Human
DLG4_RAT,0.7242387676033548,0.8040352483194171,0.8320295523685353,0.8356773650679168,0.8685238610409904,0.8798048027222207,0.8004683440132413,1576.0,low,Eukaryote
DYR_ECOLI,0.7108901056017407,0.7645728206020532,0.801372096205534,0.8033418871137497,0.7641023345232043,0.7715456439070787,0.7920155893915103,2363.0,medium,Prokaryote
ENV_HV1B9,0.771263019935159,0.7724011864523695,0.7677105608056839,0.7593295164516796,0.790956749672346,0.7766089535766021,0.7509139822032146,375.0,medium,Virus
ENV_HV1BR,0.6812973237377762,0.6835889276349328,0.6727610451248527,0.6741142312483629,0.6594600378776064,0.669282012546794,0.6671533978269045,12863.0,medium,Virus
ESTA_BACSU,0.6413061634955615,0.6733997712293328,0.7202875828742517,0.7181465675496695,0.6453384796840963,0.6618662700630095,0.6538694718348373,2172.0,high,Prokaryote
F7YBW8_MESOW,0.6852594794277538,0.6839897153918229,0.6637811685493346,0.6793387900781775,0.6690152200308892,0.6740564978363143,0.6703977273157647,9192.0,high,Prokaryote
GAL4_YEAST,0.6702751219899235,0.7542911360600891,0.7812743814548868,0.7748046177649065,0.7396424273680591,0.7428492085531797,0.7493156662831753,1195.0,medium,Eukaryote
GCN4_YEAST,0.6408236533638816,0.646931963643282,0.6344951979036201,0.6351217207421019,0.6435556378146194,0.647475716492093,0.5992265604298521,2638.0,low,Eukaryote
GFP_AEQVI,0.8777162048229141,0.9019670712836383,0.8839702296422902,0.8891965158850896,0.5651139541710286,0.5649893007224307,0.857533255170945,51714.0,low,Eukaryote
GRB2_HUMAN,0.727336020356726,0.7452994663731947,0.7578186144653285,0.7654660049512864,0.7469011147562904,0.7809950026102563,0.7989018355577954,63366.0,medium,Human
HIS7_YEAST,0.849175740660429,0.8651523095866173,0.7888542863230914,0.7896339264064536,0.7337030490072152,0.7730463728629278,0.7553677423954397,496137.0,medium,Eukaryote
HSP82_YEAST,0.8327158664419682,0.8642075856620468,0.8475987139909952,0.846741266396539,0.8733319405038269,0.8833579505493203,0.8397503907738884,8758.5,medium,Eukaryote
I6TAH8_I68A0,0.6730278588572494,0.6765651532472379,0.6458526649623781,0.6562323340241005,0.507364392880626,0.5056963382906746,0.608075975541633,9462.0,medium,Virus
IF1_ECOLI,0.7871050483852163,0.7849405133040335,0.6231326449402093,0.6412650617678219,0.8146052891707346,0.825633265913388,0.7932894343314527,1367.0,high,Prokaryote
KCNH2_HUMAN,0.7488,0.7706,0.7036,0.6829000000000001,0.6274000000000001,0.6312,0.7392000000000001,200.0,medium,Human
KKA2_KLEPN,0.8389494890459239,0.8430643961532331,0.8349009971131538,0.8475429927563183,0.8416890707188778,0.8575180206506917,0.7939312470113171,4960.0,high,Prokaryote
MK01_HUMAN,0.5237285839756631,0.5717934847316192,0.5984693657457496,0.5972349192709276,0.6074877789108779,0.6167331859727953,0.6142169271359081,6809.0,medium,Human
MSH2_HUMAN,0.7730353194983592,0.8293291234971117,0.8626528946708141,0.867514191860782,0.8389644272864201,0.8570558646166295,0.8426191048220453,16749.0,medium,Human
MTH3_HAEAE,0.832199031557856,0.8240975121055267,0.8344448154950743,0.8402487894473201,0.8536183002170648,0.8559759559191852,0.8404959091668058,1777.0,medium,Prokaryote
NCAP_I34A1,0.7095515750103396,0.7170192188393352,0.6690037302141629,0.6788788501802825,0.5170744051532365,0.5181873797853587,0.646053649121288,9462.0,medium,Virus
NRAM_I33A0,0.7721273816494753,0.8232061618845997,0.7636142516102878,0.8253231836403766,0.5979009954506554,0.7453718300977433,0.6861853069681546,298.0,low,Virus
NUD15_HUMAN,0.8161099812265332,0.8297361098694798,0.8539860092973359,0.8693405819774718,0.8387537993920973,0.8627139951725372,0.7768158859288395,2844.0,high,Human
P53_HUMAN,0.7570349035727573,0.7935838632780814,0.7644406710841032,0.7667263288905524,0.8032555629478313,0.8343851527239572,0.6401743585030868,5862.25,low,Human
P84126_THETH,0.7983984836222089,0.810888979983673,0.854758125829926,0.8557391465820184,0.8077794945640939,0.8324276409604193,0.8460515666551047,1519.0,medium,Prokaryote
PABP_YEAST,0.84693175756666,0.8717282532531261,0.8529346547708009,0.8496225224750568,0.8511798853608126,0.8613376831670577,0.786912385678709,37708.0,medium,Eukaryote
PA_I34A1,0.7769490399710179,0.7961731674918489,0.7037688684941432,0.6654353338968724,0.5368288854003139,0.5687743026204565,0.6667153725395483,1820.0,medium,Virus
POLG_CXB3N,0.6769872423547469,0.7062470830778326,0.742661056236963,0.7498778862944847,0.467712928836174,0.5156594561431029,0.676604307192093,15711.0,medium,Virus
POLG_HCVJF,0.7799244367883498,0.8090242144358111,0.8197234032155598,0.8048673215071104,0.8285220581048722,0.8540582392611056,0.6312918438156674,1630.0,medium,Virus
PTEN_HUMAN,0.6909736971877443,0.7460883470434996,0.7657688474976847,0.7584441085147,0.7599682045101328,0.7815387959385913,0.7850159792708813,6171.5,medium,Human
