DMS_id,Tranception_no_retrieval_score,Tranception_no_retrieval_score_1,Tranception_no_retrieval_score_2,Tranception_no_retrieval_score_3,Tranception_no_retrieval_score_4,Tranception_no_retrieval_score_5+,Tranception_retrieval_score,Tranception_retrieval_score_1,Tranception_retrieval_score_2,Tranception_retrieval_score_3,Tranception_retrieval_score_4,Tranception_retrieval_score_5+,MSA_transformer_score,MSA_transformer_score_1,MSA_transformer_score_2,MSA_transformer_score_3,MSA_transformer_score_4,MSA_transformer_score_5+,ESM1v_score,ESM1v_score_1,ESM1v_score_2,ESM1v_score_3,ESM1v_score_4,ESM1v_score_5+,Wavenet_score,Wavenet_score_1,Wavenet_score_2,Wavenet_score_3,Wavenet_score_4,Wavenet_score_5+,number_mutants,UniProt_ID,Neff_L_category,Taxon
A0A140D2T1_ZIKV_Sourisseau_2019_growth,0.1929824561,0.1929824561,,,,,0.2477025898,0.2477025898,,,,,0.3600668338,0.3600668338,,,,,-0.04051796157,-0.04051796157,,,,,0.1679197995,0.1679197995,,,,,9576,A0A140D2T1_ZIKV,medium,Virus
A0A192B1T2_9HIV1_Haddox_2018,0.4003996499,0.4003996499,,,,,0.3981597012,0.3981597012,,,,,0.4039195692,0.4039195692,,,,,0.3914398551,0.3914398551,,,,,0.3591205955,0.3591205955,,,,,12577,A0A192B1T2_9HIV1,medium,Virus
A0A1I9GEU1_NEIME_Kennouche_2019,0.08242969502,0.08242969502,,,,,0.05639926501,0.05639926501,,,,,0.07375288502,0.07375288502,,,,,0.04338405001,0.04338405001,,,,,0.04772245501,0.04772245501,,,,,922,A0A1I9GEU1_NEIME,medium,Prokaryote
A0A2Z5U3Z0_9INFA_Doud_2016,0.4146523514,0.4146523514,,,,,0.4023331726,0.4023331726,,,,,0.1313112384,0.1313112384,,,,,0.4049463317,0.4049463317,,,,,0.2959402645,0.2959402645,,,,,10715,A0A2Z5U3Z0_9INFA,medium,Virus
A0A2Z5U3Z0_9INFA_Wu_2014,0.4059574468,0.4059574468,,,,,0.44,0.44,,,,,0.3957446809,0.3957446809,,,,,0.3582978723,0.3582978723,,,,,0.3463829787,0.3463829787,,,,,2350,A0A2Z5U3Z0_9INFA,medium,Virus
A4D664_9INFA_Soh_2019_CCL141,0.3136398371,0.3136398371,,,,,0.296442694,0.296442694,,,,,0.2742528319,0.2742528319,,,,,0.01879204429,0.01879204429,,,,,0.194091955,0.194091955,,,,,14421,A4D664_9INFA,medium,Virus
A4GRB6_PSEAI_Chen_2020,0.5208785154,0.5208785154,,,,,0.5394093829,0.5394093829,,,,,0.5941962956,0.5941962956,,,,,0.545854902,0.545854902,,,,,0.4652859128,0.4652859128,,,,,5004,A4GRB6_PSEAI,high,Prokaryote
A4_HUMAN_Seuma_2021,0.2354589567,0.3310989507,0.2273635424,,,,0.3575986662,0.4087647207,0.3517775886,,,,0.2895890552,0.1323311027,0.2860945677,,,,0.2151948685,0.2631289493,0.2075573187,,,,0.1605095895,0.128413013,0.1526787875,,,,14483,A4_HUMAN,low,Human
AACC1_PSEAI_Dandage_2018,0.3114934024,0.3114934024,,,,,0.3337032926,0.3337032926,,,,,0.3781230731,0.3781230731,,,,,0.3448082378,0.3448082378,,,,,0.278178567,0.278178567,,,,,1801,AACC1_PSEAI,high,Prokaryote
ADRB2_HUMAN_Jones_2020,0.4005128205,0.4005128205,,,,,0.4271794872,0.4271794872,,,,,0.3358974359,0.3358974359,,,,,0.4282051282,0.4282051282,,,,,0.4117948718,0.4117948718,,,,,7800,ADRB2_HUMAN,medium,Human
