,Tranception_no_retrieval,Tranception_retrieval,MSA_Transformer_single,MSA_Transformer_ensemble,ESM1v_single,ESM1v_ensemble,Wavenet,number_mutants,UniProt_ID,Neff_L_category,Taxon
A0A140D2T1_ZIKV_Sourisseau_growth_2019,0.2716293225264886,0.3513390543103023,0.4745540828000049,0.45364486700578965,-0.05231780887198669,0.011676354907026612,0.2155269924831286,9576,A0A140D2T1_ZIKV,medium,Virus
A0A192B1T2_9HIV1_Haddox_2018,0.5142453900333634,0.5131546173801443,0.5139987491041195,0.514213588747386,0.491822749661978,0.5161896428823302,0.46538307712235316,12577,A0A192B1T2_9HIV1,medium,Virus
A0A1I9GEU1_NEIME_Kennouche_2019,0.09918779905650221,0.05732689997678015,0.09387309085530732,0.10232406152635291,0.06847883285791018,0.06806146883978843,0.06665048449708619,922,A0A1I9GEU1_NEIME,medium,Prokaryote
A0A2Z5U3Z0_9INFA_Doud_2016,0.5228366420218422,0.5374601636394706,0.16350972018437063,0.5303350837670149,0.5164785947667002,0.5501303505882672,0.413127260881689,10715,A0A2Z5U3Z0_9INFA,medium,Virus
A0A2Z5U3Z0_9INFA_Wu_2014,0.5185282585636891,0.5413421326640996,0.4957961795108037,0.5147506230725751,0.4606289057346448,0.5089849382791217,0.4578341395021816,2350,A0A2Z5U3Z0_9INFA,medium,Virus
A4_HUMAN_Seuma_2021,0.3634192518979252,0.4515716721061646,0.39341692870482137,0.3915965924520382,0.30875305026523575,0.3978290983565354,0.24507297036374454,14483,A4_HUMAN,low,Human
A4D664_9INFA_Soh_CCL141_2019,0.40361906288629745,0.39326710179649593,0.3325495987943195,0.336157068274433,0.02562683354762951,0.03261444503278893,0.26000030398976853,14421,A4D664_9INFA,medium,Virus
A4GRB6_PSEAI_Chen_2020,0.629421009440995,0.6519766797588885,0.6949056652006684,0.669638685017874,0.6474057565103359,0.6682983563431224,0.5667521095981614,5004,A4GRB6_PSEAI,high,Prokaryote
AACC1_PSEAI_Dandage_2018,0.41747764931994824,0.4656807109800678,0.49648469151971747,0.48393397206464905,0.4829876075357215,0.4887764558847544,0.3905090331852617,1801,AACC1_PSEAI,high,Prokaryote
ADRB2_HUMAN_Jones_2020,0.5062654947298109,0.5327325540308485,0.4345256780569891,0.49995663123885625,0.5257350905458911,0.5388458599162952,0.5206001706971656,7800,ADRB2_HUMAN,medium,Human
AMIE_PSEAE_Wrenbeck_2017,0.4046715116300426,0.4384431618109363,0.5920551802691942,0.5686004957317751,0.6127128511420172,0.6623718116817678,0.50617122837924,6227,AMIE_PSEAE,high,Prokaryote
B3VI55_LIPST_Klesmith_2015,0.5548707897160459,0.5272265821324686,0.5794111804842647,0.5598317933010708,0.5373980932154138,0.5635889323011737,0.49929925026290684,7890,B3VI55_LIPST,medium,Eukaryote
BLAT_ECOLX_Deng_2012,0.37255437625871163,0.47321560754061803,0.5225691679074649,0.520953448107332,0.5006519886496985,0.5176809640006579,0.45516487779801085,4996,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Firnberg_2014,0.4803825556075683,0.6368484759749897,0.7020096281136446,0.7044919823440744,0.6648974489431607,0.7068447110765801,0.6621957453458799,4783,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Jacquier_2013,0.5081918528137962,0.6471692234251707,0.6657169252729624,0.6656434962654375,0.6561972158690869,0.6840848585420009,0.6354913298145946,989,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Stiffler_2015,0.47521186057518416,0.6286184270596001,0.6882421373567943,0.6914330533658255,0.6683741519822122,0.7067382149392444,0.6552527215952331,4996,BLAT_ECOLX,high,Prokaryote
BRCA1_HUMAN_Findlay_2018,0.40903051711542343,0.5136288149864223,0.47191200939306,0.501389567812058,0.4041354155365396,0.4465422139569461,0.29572228867142214,1837,BRCA1_HUMAN,low,Human
C6KNH7_9INFA_Lee_2018,0.3924986092243457,0.43268905279492376,0.3996738141940415,0.40297691215235343,0.4282704016320615,0.4916621628588761,0.34253163729910674,10754,C6KNH7_9INFA,medium,Virus
CALM1_HUMAN_Weile_2017,0.2908531765530669,0.265850788279341,0.23673401823013832,0.2510173522518526,0.23530058229276157,0.2643126899098595,0.22863564575325893,1813,CALM1_HUMAN,high,Human
CAPSD_AAV2S_Sinai_substitutions_2021,0.49236996095185076,0.4732614908625582,0.34959056210686024,0.3681068614117199,0.19585863301522305,0.1992587672562472,0.25799194015026466,42328,CAPSD_AAV2S,low,Virus
CCDB_ECOLI_Adkar_2012,0.30993476787409935,0.45775302063542916,0.36742322142651596,0.43860266347579774,0.3507527020053139,0.43248988485505935,0.4571623897886666,1176,CCDB_ECOLI,high,Prokaryote
CCDB_ECOLI_Tripathi_2016,0.4240467682522996,0.5317129425205629,0.44535266777292065,0.48304459458209403,0.43474976212420924,0.48329981089022994,0.5178174793386526,1663,CCDB_ECOLI,high,Prokaryote
CP2C9_HUMAN_Amorosi_abundance_2021,0.5693971264072069,0.6241983882350864,0.5767770500116329,0.5897710463417559,0.5877296805169842,0.6210617834765797,0.6108570698487235,6370,CP2C9_HUMAN,high,Human
CP2C9_HUMAN_Amorosi_activity_2021,0.571623178323916,0.6383354162895781,0.5832227901384107,0.5984216471576935,0.6422495292633594,0.6658179558139324,0.6523754853826376,6142,CP2C9_HUMAN,high,Human
