DMS_id,EVE_score,EVE_score_1,EVE_score_2,EVE_score_3,EVE_score_4,EVE_score_5+,Tranception_no_retrieval_score,Tranception_no_retrieval_score_1,Tranception_no_retrieval_score_2,Tranception_no_retrieval_score_3,Tranception_no_retrieval_score_4,Tranception_no_retrieval_score_5+,Tranception_retrieval_score,Tranception_retrieval_score_1,Tranception_retrieval_score_2,Tranception_retrieval_score_3,Tranception_retrieval_score_4,Tranception_retrieval_score_5+,MSA_transformer_score,MSA_transformer_score_1,MSA_transformer_score_2,MSA_transformer_score_3,MSA_transformer_score_4,MSA_transformer_score_5+,ESM1v_score,ESM1v_score_1,ESM1v_score_2,ESM1v_score_3,ESM1v_score_4,ESM1v_score_5+,Wavenet_score,Wavenet_score_1,Wavenet_score_2,Wavenet_score_3,Wavenet_score_4,Wavenet_score_5+,Deepsequence_score,Deepsequence_score_1,Deepsequence_score_2,Deepsequence_score_3,Deepsequence_score_4,Deepsequence_score_5+,Epistatic_score,Epistatic_score_1,Epistatic_score_2,Epistatic_score_3,Epistatic_score_4,Epistatic_score_5+,Independent_score,Independent_score_1,Independent_score_2,Independent_score_3,Independent_score_4,Independent_score_5+,Ensemble_EVE,Ensemble_EVE_1,Ensemble_EVE_2,Ensemble_EVE_3,Ensemble_EVE_4,Ensemble_EVE_5+,Ensemble_ESM1v,Ensemble_ESM1v_1,Ensemble_ESM1v_2,Ensemble_ESM1v_3,Ensemble_ESM1v_4,Ensemble_ESM1v_5+,Ensemble_MSA_transformer,Ensemble_MSA_transformer_1,Ensemble_MSA_transformer_2,Ensemble_MSA_transformer_3,Ensemble_MSA_transformer_4,Ensemble_MSA_transformer_5+,Ensemble_tranception_no_retrieval_EVE,Ensemble_tranception_no_retrieval_EVE_1,Ensemble_tranception_no_retrieval_EVE_2,Ensemble_tranception_no_retrieval_EVE_3,Ensemble_tranception_no_retrieval_EVE_4,Ensemble_tranception_no_retrieval_EVE_5+,Ensemble_tranception_retrieval_EVE,Ensemble_tranception_retrieval_EVE_1,Ensemble_tranception_retrieval_EVE_2,Ensemble_tranception_retrieval_EVE_3,Ensemble_tranception_retrieval_EVE_4,Ensemble_tranception_retrieval_EVE_5+,Ensemble_tranception_retrieval_EVE_ensemble,Ensemble_tranception_retrieval_EVE_ensemble_1,Ensemble_tranception_retrieval_EVE_ensemble_2,Ensemble_tranception_retrieval_EVE_ensemble_3,Ensemble_tranception_retrieval_EVE_ensemble_4,Ensemble_tranception_retrieval_EVE_ensemble_5+,number_mutants,UniProt_ID,Neff_L_category,Taxon
A0A140D2T1_ZIKV_Sourisseau_2019_growth,0.366,0.366,,,,,0.268,0.268,,,,,0.346,0.346,,,,,0.465,0.465,,,,,-0.064,-0.064,,,,,0.214,0.214,,,,,0.141,0.141,,,,,0.361,0.361,,,,,0.382,0.382,,,,,0.390,0.390,,,,,-0.002,-0.002,,,,,0.441,0.441,,,,,0.359,0.359,,,,,0.372,0.372,,,,,0.381,0.381,,,,,9272,A0A140D2T1_ZIKV,medium,Virus
A0A192B1T2_9HIV1_Haddox_2018,0.510,0.510,,,,,0.510,0.510,,,,,0.509,0.509,,,,,0.510,0.510,,,,,0.488,0.488,,,,,0.463,0.463,,,,,0.415,0.415,,,,,0.404,0.404,,,,,0.477,0.477,,,,,0.511,0.511,,,,,0.512,0.512,,,,,0.511,0.511,,,,,0.532,0.532,,,,,0.524,0.524,,,,,0.523,0.523,,,,,12484,A0A192B1T2_9HIV1,medium,Virus
A0A1I9GEU1_NEIME_Kennouche_2019,-0.004,-0.004,,,,,0.088,0.088,,,,,0.044,0.044,,,,,0.077,0.077,,,,,0.046,0.046,,,,,0.055,0.055,,,,,0.002,0.002,,,,,0.015,0.015,,,,,-0.012,-0.012,,,,,0.001,0.001,,,,,0.051,0.051,,,,,0.087,0.087,,,,,0.034,0.034,,,,,0.019,0.019,,,,,0.021,0.021,,,,,791,A0A1I9GEU1_NEIME,medium,Prokaryote
A0A2Z5U3Z0_9INFA_Doud_2016,0.534,0.534,,,,,0.539,0.539,,,,,0.549,0.549,,,,,0.157,0.157,,,,,0.507,0.507,,,,,0.416,0.416,,,,,0.472,0.472,,,,,0.469,0.469,,,,,0.479,0.479,,,,,0.543,0.543,,,,,0.542,0.542,,,,,0.526,0.526,,,,,0.583,0.583,,,,,0.565,0.565,,,,,0.569,0.569,,,,,10432,A0A2Z5U3Z0_9INFA,medium,Virus
A0A2Z5U3Z0_9INFA_Wu_2014,0.524,0.524,,,,,0.518,0.518,,,,,0.540,0.540,,,,,0.495,0.495,,,,,0.462,0.462,,,,,0.456,0.456,,,,,0.440,0.440,,,,,0.503,0.503,,,,,0.478,0.478,,,,,0.524,0.524,,,,,0.510,0.510,,,,,0.515,0.515,,,,,0.561,0.561,,,,,0.553,0.553,,,,,0.554,0.554,,,,,2316,A0A2Z5U3Z0_9INFA,medium,Virus
A4D664_9INFA_Soh_2019_CCL141,0.409,0.409,,,,,0.404,0.404,,,,,0.393,0.393,,,,,0.333,0.333,,,,,0.026,0.026,,,,,0.260,0.260,,,,,0.405,0.405,,,,,0.340,0.340,,,,,0.411,0.411,,,,,0.408,0.408,,,,,0.033,0.033,,,,,0.336,0.336,,,,,0.470,0.470,,,,,0.458,0.458,,,,,0.457,0.457,,,,,14421,A4D664_9INFA,medium,Virus
A4GRB6_PSEAI_Chen_2020,0.672,0.672,,,,,0.598,0.598,,,,,0.663,0.663,,,,,0.707,0.707,,,,,0.647,0.647,,,,,0.614,0.614,,,,,0.688,0.688,,,,,0.646,0.646,,,,,0.482,0.482,,,,,0.690,0.690,,,,,0.663,0.663,,,,,0.685,0.685,,,,,0.686,0.686,,,,,0.691,0.691,,,,,0.700,0.700,,,,,3624,A4GRB6_PSEAI,high,Prokaryote
A4_HUMAN_Seuma_2021,0.301,0.342,0.294,,,,0.364,0.360,0.355,,,,0.452,0.426,0.446,,,,0.394,0.419,0.391,,,,0.309,0.360,0.300,,,,0.245,0.267,0.235,,,,0.401,0.437,0.394,,,,0.381,0.387,0.378,,,,0.389,0.374,0.383,,,,0.300,0.349,0.294,,,,0.398,0.435,0.394,,,,0.392,0.419,0.390,,,,0.403,0.405,0.399,,,,0.417,0.419,0.412,,,,0.415,0.421,0.411,,,,14477,A4_HUMAN,low,Human
AACC1_PSEAI_Dandage_2018,0.499,0.499,,,,,0.407,0.407,,,,,0.448,0.448,,,,,0.505,0.505,,,,,0.488,0.488,,,,,0.383,0.383,,,,,0.493,0.493,,,,,0.451,0.451,,,,,0.272,0.272,,,,,0.498,0.498,,,,,0.486,0.486,,,,,0.503,0.503,,,,,0.483,0.483,,,,,0.486,0.486,,,,,0.483,0.483,,,,,1464,AACC1_PSEAI,high,Prokaryote
ADRB2_HUMAN_Jones_2020,0.534,0.534,,,,,0.501,0.501,,,,,0.542,0.542,,,,,0.436,0.436,,,,,0.523,0.523,,,,,0.549,0.549,,,,,0.530,0.530,,,,,0.510,0.510,,,,,0.459,0.459,,,,,0.537,0.537,,,,,0.541,0.541,,,,,0.504,0.504,,,,,0.551,0.551,,,,,0.554,0.554,,,,,0.555,0.555,,,,,5575,ADRB2_HUMAN,medium,Human
