DMS_id,Tranception_no_retrieval_score,Tranception_no_retrieval_score_1,Tranception_no_retrieval_score_2,Tranception_no_retrieval_score_3,Tranception_no_retrieval_score_4,Tranception_no_retrieval_score_5+,Tranception_retrieval_score,Tranception_retrieval_score_1,Tranception_retrieval_score_2,Tranception_retrieval_score_3,Tranception_retrieval_score_4,Tranception_retrieval_score_5+,MSA_transformer_score,MSA_transformer_score_1,MSA_transformer_score_2,MSA_transformer_score_3,MSA_transformer_score_4,MSA_transformer_score_5+,ESM1v_score,ESM1v_score_1,ESM1v_score_2,ESM1v_score_3,ESM1v_score_4,ESM1v_score_5+,Wavenet_score,Wavenet_score_1,Wavenet_score_2,Wavenet_score_3,Wavenet_score_4,Wavenet_score_5+,number_mutants,UniProt_ID,Neff_L_category,Taxon
A0A140D2T1_ZIKV_Sourisseau_2019_growth,0.2716293851,0.2716293851,,,,,0.3513388109,0.3513388109,,,,,0.4745540828,0.4745540828,,,,,-0.05231780887,-0.05231780887,,,,,0.2155269925,0.2155269925,,,,,9576,A0A140D2T1_ZIKV,medium,Virus
A0A192B1T2_9HIV1_Haddox_2018,0.514245564,0.514245564,,,,,0.5131542431,0.5131542431,,,,,0.5139987491,0.5139987491,,,,,0.4918227497,0.4918227497,,,,,0.4653830771,0.4653830771,,,,,12577,A0A192B1T2_9HIV1,medium,Virus
A0A1I9GEU1_NEIME_Kennouche_2019,0.09918779906,0.09918779906,,,,,0.05732040855,0.05732040855,,,,,0.09387309086,0.09387309086,,,,,0.06847883286,0.06847883286,,,,,0.0666504845,0.0666504845,,,,,922,A0A1I9GEU1_NEIME,medium,Prokaryote
A0A2Z5U3Z0_9INFA_Doud_2016,0.522836628,0.522836628,,,,,0.5374602639,0.5374602639,,,,,0.1635097202,0.1635097202,,,,,0.5164785948,0.5164785948,,,,,0.4131272609,0.4131272609,,,,,10715,A0A2Z5U3Z0_9INFA,medium,Virus
A0A2Z5U3Z0_9INFA_Wu_2014,0.5185295742,0.5185295742,,,,,0.541342648,0.541342648,,,,,0.4957961795,0.4957961795,,,,,0.4606289057,0.4606289057,,,,,0.4578341395,0.4578341395,,,,,2350,A0A2Z5U3Z0_9INFA,medium,Virus
A4D664_9INFA_Soh_2019_CCL141,0.4036193562,0.4036193562,,,,,0.3932669963,0.3932669963,,,,,0.3325495988,0.3325495988,,,,,0.02562683355,0.02562683355,,,,,0.260000304,0.260000304,,,,,14421,A4D664_9INFA,medium,Virus
A4GRB6_PSEAI_Chen_2020,0.6294205122,0.6294205122,,,,,0.6519770471,0.6519770471,,,,,0.6949056652,0.6949056652,,,,,0.6474057565,0.6474057565,,,,,0.5667521096,0.5667521096,,,,,5004,A4GRB6_PSEAI,high,Prokaryote
A4_HUMAN_Seuma_2021,0.3634191607,0.3603247827,0.3551492824,,,,0.4515718674,0.4257287009,0.4454371642,,,,0.3934169287,0.41886231,0.3905945404,,,,0.3087530503,0.3598820824,0.2996730411,,,,0.2450729704,0.2673396944,0.2346726874,,,,14483,A4_HUMAN,low,Human
AACC1_PSEAI_Dandage_2018,0.4174757925,0.4174757925,,,,,0.4656795598,0.4656795598,,,,,0.4964846915,0.4964846915,,,,,0.4829876075,0.4829876075,,,,,0.3905090332,0.3905090332,,,,,1801,AACC1_PSEAI,high,Prokaryote
ADRB2_HUMAN_Jones_2020,0.5062654768,0.5062654768,,,,,0.5327327208,0.5327327208,,,,,0.4345256781,0.4345256781,,,,,0.5257350905,0.5257350905,,,,,0.5206001707,0.5206001707,,,,,7800,ADRB2_HUMAN,medium,Human
AMIE_PSEAE_Wrenbeck_2017,0.4046718282,0.4046718282,,,,,0.4384431037,0.4384431037,,,,,0.5920551803,0.5920551803,,,,,0.6127128511,0.6127128511,,,,,0.5061712284,0.5061712284,,,,,6227,AMIE_PSEAE,high,Prokaryote
B3VI55_LIPST_Klesmith_2015,0.5548708778,0.5548708778,,,,,0.5272261221,0.5272261221,,,,,0.5794111805,0.5794111805,,,,,0.5373980932,0.5373980932,,,,,0.4992992503,0.4992992503,,,,,7890,B3VI55_LIPST,medium,Eukaryote
BLAT_ECOLX_Deng_2012,0.3725543488,0.3725543488,,,,,0.473215606,0.473215606,,,,,0.5225691679,0.5225691679,,,,,0.5006519886,0.5006519886,,,,,0.4551648778,0.4551648778,,,,,4996,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Firnberg_2014,0.4803829737,0.4803829737,,,,,0.6368484366,0.6368484366,,,,,0.7020096281,0.7020096281,,,,,0.6648974489,0.6648974489,,,,,0.6621957453,0.6621957453,,,,,4783,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Jacquier_2013,0.5081934338,0.5081934338,,,,,0.6471748855,0.6471748855,,,,,0.6657169253,0.6657169253,,,,,0.6561972159,0.6561972159,,,,,0.6354913298,0.6354913298,,,,,989,BLAT_ECOLX,high,Prokaryote
BLAT_ECOLX_Stiffler_2015,0.4752120613,0.4752120613,,,,,0.6286189794,0.6286189794,,,,,0.6882421374,0.6882421374,,,,,0.668374152,0.668374152,,,,,0.6552527216,0.6552527216,,,,,4996,BLAT_ECOLX,high,Prokaryote
BRCA1_HUMAN_Findlay_2018,0.4090293518,0.4090293518,,,,,0.5136272138,0.5136272138,,,,,0.4719120094,0.4719120094,,,,,0.4041354155,0.4041354155,,,,,0.2957222887,0.2957222887,,,,,1837,BRCA1_HUMAN,low,Human
